sf,rssi,snr
7,-92,8.75
7,-97,8.25
7,-98,8.25
7,-93,8.75
7,-95,8.75
7,-94,9
7,-92,8.75
7,-93,8.75
7,-90,9.25
7,-92,8.75
7,-89,8.75
7,-89,8.75
7,-92,9.25
7,-90,9
7,-97,7.75
7,-93,8.75
7,-91,9
7,-90,9.25
7,-90,9
7,-92,8.5
7,-97,7.5
8,-95,10.5
8,-94,10.25
8,-94,10.25
8,-95,10.75
8,-94,10.5
8,-98,9.25
8,-95,10
8,-97,9
8,-96,10.25
8,-92,11
8,-93,10.75
8,-93,10.5
8,-97,8
8,-103,6.25
8,-99,9
8,-98,9.75
8,-95,10.5
8,-97,8.5
8,-99,9
8,-94,7.25
8,-97,8.75
9,-99,9.25
9,-97,8.75
9,-96,10.5
9,-103,5.75
9,-97,8.5
9,-95,11.25
9,-96,8.75
9,-94,11.75
9,-92,11.75
9,-93,10
9,-92,10.75
9,-92,9.5
9,-97,9.25
9,-96,9.5
9,-95,11.75
9,-97,8.5
9,-96,11.75
9,-95,11.5
9,-94,11.75
9,-95,11.75
9,-93,12
10,-93,11.75
10,-93,12
10,-92,10.75
10,-93,12
10,-96,8.75
10,-95,10
10,-94,11.75
10,-96,9.75
10,-96,8.25
10,-96,8
10,-98,9.75
10,-96,8.25
10,-96,8.75
10,-96,8.25
10,-99,10
10,-97,8.5
10,-101,6.75
10,-97,8.25
10,-94,12
10,-94,10.75
10,-94,10.5
11,-99,9.5
11,-98,7.75
11,-98,8.5
11,-100,10
11,-100,10.25
11,-100,10.25
11,-98,8
11,-104,8.25
11,-99,10.5
11,-99,8.75
11,-94,8.5
11,-94,10
11,-95,9.25
11,-96,8.75
11,-97,8.5
11,-94,10.5
11,-96,8
11,-95,9.25
11,-95,9.75
11,-96,8.5
11,-94,10.25
12,-104,6.5
12,-104,6.25
12,-103,6
12,-104,6.5
12,-105,6.25
12,-101,7
12,-103,6.25
12,-102,6.25
12,-102,6.25
12,-102,7
12,-98,7.75
12,-99,7.75
12,-97,6.75
12,-96,7.25
12,-96,7.75
12,-96,7.25
12,-96,7.25
12,-96,7.25
12,-95,7.25
12,-95,7.5
12,-94,7.75
