sf,rssi,snr
7,-91,8.75
7,-84,9.5
7,-84,8.75
7,-84,8.5
7,-88,9.25
7,-85,9.5
7,-87,9.25
7,-91,9.25
7,-90,9
7,-83,8.75
7,-80,9.5
7,-85,9.25
7,-81,9
7,-83,9.25
7,-78,9
7,-88,9.25
7,-97,8
7,-87,9
7,-93,8.75
7,-90,9.25
7,-95,8
8,-90,10.5
8,-93,10.5
8,-87,10.25
8,-91,11
8,-94,10.25
8,-93,10.75
8,-98,8.75
8,-92,10
8,-94,11
8,-97,9.5
8,-89,10.75
8,-87,11
8,-93,10.5
8,-94,10.5
8,-97,9
8,-97,10
8,-89,10.75
8,-94,10
8,-88,10.75
8,-89,11.25
8,-88,11
9,-95,8.25
9,-93,10.25
9,-93,10.5
9,-95,10.5
9,-96,10.25
9,-96,10.25
9,-100,7.5
9,-91,11.25
9,-95,10
9,-98,9.5
9,-88,11.5
9,-89,12.5
9,-87,11
9,-86,11.5
9,-83,11
9,-86,11.75
9,-84,12.25
9,-85,11.75
9,-89,11.25
9,-85,12
9,-85,11.75
10,-84,12
10,-91,10.25
10,-88,11.25
10,-86,11
10,-86,10.25
10,-84,12
10,-83,11
10,-84,13
10,-84,12.25
10,-88,11.25
10,-83,11.75
10,-83,11
10,-84,12.25
10,-83,12.25
10,-84,10.25
10,-83,10
10,-85,12.5
10,-84,10.75
10,-83,11.5
10,-83,12.25
10,-83,12
11,-91,9.25
11,-93,9
11,-93,9.5
11,-92,9
11,-91,6.75
11,-91,9.75
11,-95,9
11,-98,8
11,-96,9.25
11,-98,8.5
11,-89,8.25
11,-88,8.25
11,-89,8.5
11,-89,9
11,-90,8
11,-94,6.5
11,-94,7.5
11,-92,7.5
11,-91,9.25
11,-91,9.75
11,-90,7.75
12,-96,7.25
12,-95,7.25
12,-97,6.5
12,-95,6.5
12,-95,6.75
12,-98,7.5
12,-97,7.25
12,-99,8
12,-97,7.25
12,-99,7
12,-92,8.25
12,-95,7.25
12,-90,6.75
12,-91,8
12,-92,8
12,-93,7.75
12,-91,8
12,-93,7.5
12,-97,6
12,-96,7.25
12,-94,7.5
13,-92,7.25
13,-94,7.5
