index,rssi,distance
69,-94,70
70,-91,70
71,-95,70
72,-91,70
73,-95,70
74,-92,70
75,-102,70
76,-90,70
77,-95,70
78,-99,70
79,-85,70
80,-84,70
81,-84,70
82,-82,70
83,-80,70
84,-77,70
85,-76,70
86,-83,70
87,-83,70
88,-87,70
89,-83,70
90,-84,70
91,-82,70
92,-81,70
93,-80,70
94,-80,70
95,-77,70
96,-77,70
97,-79,70
98,-78,70
99,-77,70
100,-79,70
101,-78,70
102,-78,70
103,-80,70
104,-80,70
105,-80,70
106,-80,70
107,-80,70
108,-80,70
109,-79,70
110,-80,70
111,-81,70
112,-83,70
113,-85,70
114,-80,70
115,-79,70
116,-82,70
117,-80,70
118,-78,70
119,-79,70
120,-81,70
121,-85,70
122,-85,70
123,-83,70
124,-81,70
125,-79,70
126,-79,70
127,-76,70
128,-78,70
129,-80,70
130,-89,70
131,-89,70
132,-84,70
133,-86,70
134,-86,70
135,-85,70
136,-80,70
137,-82,70
138,-85,70
139,-86,70
140,-95,70
141,-91,70
142,-94,70
143,-85,70
144,-81,70
145,-79,70
146,-79,70
147,-79,70
148,-78,70
149,-87,70
150,-80,70
151,-81,70
152,-81,70
153,-85,70
154,-81,70
155,-83,70
156,-85,70
157,-79,70
158,-81,70
159,-79,70
160,-79,70
161,-77,70
162,-77,70
163,-80,70
164,-77,70
165,-81,70
166,-78,70
167,-79,70
168,-80,70
169,-79,70
170,-78,70
171,-77,70
172,-80,70
173,-83,70
174,-82,70
175,-80,70
176,-83,70
177,-77,70
178,-79,70
179,-79,70
180,-80,70
181,-80,70
182,-80,70
183,-79,70
0,-106,300
1,-98,300
2,-110,300
3,-110,300
4,-112,300
5,-109,300
6,-107,300
7,-98,300
8,-101,300
9,-103,300
10,-102,300
11,-90,300
12,-90,300
13,-89,300
14,-88,300
15,-87,300
16,-88,300
17,-89,300
18,-88,300
19,-89,300
20,-89,300
21,-91,300
22,-90,300
23,-91,300
24,-91,300
25,-91,300
26,-92,300
27,-91,300
28,-91,300
29,-91,300
30,-93,300
31,-93,300
32,-97,300
33,-97,300
34,-96,300
35,-99,300
36,-97,300
37,-93,300
38,-91,300
39,-93,300
40,-90,300
41,-90,300
42,-95,300
43,-93,300
44,-91,300
45,-95,300
46,-97,300
47,-97,300
48,-95,300
49,-95,300
50,-95,300
51,-96,300
52,-93,300
53,-91,300
54,-95,300
55,-95,300
56,-96,300
57,-97,300
58,-96,300
59,-98,300
60,-99,300
61,-101,300
62,-96,300
63,-97,300
64,-97,300
65,-96,300
66,-99,300
67,-95,300
68,-94,300
69,-96,300
70,-96,300
71,-94,300
72,-96,300
73,-95,300
74,-91,300
75,-93,300
76,-94,300
77,-94,300
78,-93,300
79,-93,300
80,-96,300
81,-97,300
82,-96,300
83,-98,300
84,-99,300
85,-97,300
86,-99,300
87,-100,300
88,-98,300
89,-99,300
90,-99,300
91,-97,300
92,-96,300
93,-96,300
94,-100,300
95,-99,300
96,-93,300
97,-95,300
98,-94,300
99,-95,300
100,-104,300
101,-101,300
103,-99,300
104,-99,300
105,-96,300
106,-101,300
107,-101,300
108,-98,300
109,-99,300
110,-99,300
111,-108,300
112,-100,300
113,-98,300
114,-96,300
115,-97,300
121,-96,300
122,-98,300
133,-93,300
134,-92,300
135,-96,300
136,-99,300
137,-98,300
138,-94,300
139,-95,300
140,-93,300
141,-93,300
142,-97,300
143,-97,300
146,-97,300
147,-99,300
148,-96,300
149,-91,300
150,-94,300
151,-95,300
152,-94,300
153,-91,300
154,-91,300
155,-92,300
156,-94,300
157,-94,300
158,-90,300
15:,-92,300
160,-93,300
161,-96,300
162,-96,300
163,-96,300
164,-93,300
165,-94,300
166,-91,300
167,-94,300
168,-94,300
169,-96,300
170,-95,300
171,-97,300
173,-94,300
174,-98,300
176,-92,300
177,-91,300
178,-93,300
179,-92,300
180,-91,300
181,-91,300
182,-94,300
183,-93,300
184,-94,300
185,-93,300
186,-95,300
187,-93,300
188,-93,300
189,-92,300
190,-93,300
191,-92,300
192,-92,300
193,-92,300
194,-93,300
195,-93,300
196,-92,300
197,-91,300
198,-91,300
199,-91,300
200,-93,300
201,-92,300
202,-93,300
203,-93,300
204,-92,300
205,-93,300
206,-93,300
207,-92,300
208,-94,300
209,-93,300
210,-92,300
211,-92,300
212,-93,300
213,-94,300
214,-92,300
215,-94,300
216,-96,300
217,-96,300
218,-94,300
219,-91,300
220,-93,300
221,-93,300
222,-93,300
223,-93,300
224,-95,300
