index,rssi,snr,sf
index,rssi,snr,sf
index,rssi,snr,sf
index,rssi,snr,sf
index,rssi,snr,sf
index,rssi,snr,sf
index,rssi,snr,sf
index,rssi,snr,sf
12
24,-42,9.50,12
25,-40,9.00,12
26,-35,9.00,12
27,-40,10.00,12
28,-41,10.00,12
29,-39,9.00,12
index,rssi,snr,sf
index,rssi,snr,sf
index,rssi,snr,sf
25,-38,10.00,12
29,-34,10.25,12
30,-37,10.25,12
31,-39,9.50,12
32,-35,9.75,12
33,-35,10.25,12
34,-38,9.50,12
35,-38,10.00,12
36,-35,10.25,12
37,-35,9.75,12
38,-38,10.50,12
39,-38,9.75,12
40,-35,10.50,12
41,-33,10.75,12
42,-34,10.75,12
43,-32,10.00,12
44,-32,9.25,12
45,-33,10.50,12
46,-32,10.50,12
47,-32,10.25,12
index,rssi,snr,sf
69,-32,10.25,12
70,-32,10.50,12
71,-33,11.00,12
72,-34,10.50,12
73,-34,10.50,12
74,-34,11.00,12
75,-33,10.50,12
76,-33,10.25,12
77,-33,10.50,12
78,-33,10.50,12
79,-33,11.25,12
80,-33,10.75,12
81,-33,11.00,12
82,-33,11.00,12
83,-39,9.75,12
84,-44,9.50,12
85,-45,10.00,12
86,-45,10.00,12
87,-41,10.25,12
88,-40,9.25,12
89,-42,10.25,12
90,-43,10.00,12
91,-44,9.25,12
92,-44,9.75,12
93,-34,10.00,12
94,-34,10.00,12
95,-34,9.50,12
96,-34,10.50,12
97,-33,10.00,12
98,-33,10.50,12
99,-33,10.50,12
100,-35,10.00,12
101,-36,9.25,12
102,-34,10.50,12
103,-35,10.50,12
104,-35,10.50,12
105,-35,9.75,12
106,-32,11.00,12
107,-32,9.75,12
108,-33,12.25,12
109,-33,11.50,12
index,rssi,snr,sf
6,-50,10.00,12
7,-52,10.75,12
8,-52,9.75,12
9,-47,10.25,12
index,rssi,snr,sf
index,rssi,snr,sf
index,rssi,snr,sf
index,rssi,snr,sf
4,-28,9.25,12
5,-28,8.75,12
6,-28,8.75,12
7,-30,9.00,12
8,-28,9.25,12
9,-28,9.25,12
10,-29,9.25,12
11,-29,9.00,12
12,-29,9.50,12
13,-30,9.00,12
14,-30,9.00,12
15,-29,9.50,12
16,-29,9.50,12
17,-30,9.75,12
18,-30,9.50,12
19,-30,9.50,12
20,-31,9.50,12
21,-31,9.75,12
22,-31,10.00,12
23,-31,9.25,12
24,-31,9.25,12
25,-31,9.75,12
26,-30,9.75,12
27,-30,9.75,12
28,-43,9.75,12
29,-48,10.00,12
30,-45,10.25,12
