index,rssi,snr,sf
0,-102,4.75,7
1,-100,5.25,7
2,-97,7.75,7
3,-99,7.00,7
4,-100,6.50,7
5,-97,7.75,7
6,-96,8.00,7
7,-96,7.75,7
8,-98,7.25,7
9,-103,2.75,7
10,-99,6.00,7
11,-100,6.00,7
12,-100,5.25,7
13,-101,5.00,7
14,-101,5.00,7
15,-100,6.00,7
16,-101,5.25,7
17,-100,6.00,7
18,-100,5.50,7
19,-99,6.25,7
20,-99,6.75,7
21,-98,7.00,7
22,-102,4.75,7
23,-100,6.25,7
24,-101,5.25,7
25,-103,4.25,7
26,-104,3.00,7
27,-99,6.50,7
28,-99,6.25,7
29,-98,7.50,7
30,-98,7.75,7
31,-98,7.50,7
32,-100,6.25,7
33,-98,7.25,7
34,-97,7.75,7
35,-98,7.25,7
36,-98,7.50,7
37,-98,7.25,7
38,-98,7.25,7
39,-98,7.50,7
40,-97,7.50,7
41,-97,7.75,7
42,-98,7.25,7
43,-98,7.50,7
44,-98,7.50,7
45,-98,7.50,7
46,-98,7.50,7
47,-98,7.50,7
48,-99,7.00,7
49,-98,7.75,7
50,-97,7.75,8
51,-98,7.50,8
52,-98,7.75,8
53,-98,8.00,8
54,-98,8.25,8
55,-97,8.00,8
56,-97,8.25,8
57,-98,8.00,8
58,-97,7.50,8
59,-98,8.25,8
60,-97,7.50,8
61,-97,8.00,8
62,-97,7.75,8
63,-97,7.25,8
64,-97,8.00,8
65,-97,7.75,8
66,-97,7.75,8
67,-97,7.25,8
68,-97,8.25,8
69,-97,7.75,8
70,-97,7.75,8
71,-97,8.00,8
72,-98,7.50,8
73,-97,7.75,8
74,-97,8.00,8
75,-97,8.00,8
76,-97,8.00,8
77,-97,8.00,8
78,-97,7.75,8
79,-97,7.75,8
80,-98,8.75,8
81,-98,8.50,8
82,-98,3.25,8
83,-98,8.75,8
84,-98,8.75,8
85,-99,8.50,8
86,-99,8.50,8
87,-99,8.50,8
88,-99,8.00,8
89,-98,8.50,8
90,-98,7.50,8
91,-98,7.50,8
92,-98,7.50,8
93,-98,7.50,8
94,-98,7.75,8
95,-98,7.50,8
96,-98,7.25,8
97,-98,7.50,8
98,-98,7.50,8
99,-99,7.00,8
100,-98,8.00,9
101,-98,8.25,9
103,-98,8.25,9
104,-98,8.50,9
105,-98,8.00,9
106,-98,8.00,9
107,-98,8.50,9
108,-98,8.00,9
109,-97,8.25,9
110,-97,8.50,9
111,-96,8.00,9
112,-97,8.50,9
113,-98,8.25,9
114,-98,8.50,9
115,-98,8.25,9
116,-97,8.75,9
117,-97,8.25,9
118,-98,8.50,9
119,-98,8.50,9
120,-97,8.50,9
121,-98,8.25,9
122,-99,7.75,9
123,-99,7.75,9
134,-97,3.25,9
125,-97,8.25,9
126,-97,8.25,9
127,-98,8.50,9
128,-98,8.25,9
129,-97,8.25,9
130,-98,7.75,9
131,-97,8.00,9
132,-101,4.75,9
133,-98,7.75,9
134,-98,8.50,9
135,-97,8.25,9
136,-100,6.25,9
137,-99,7.75,9
138,-99,7.50,9
139,-99,7.50,9
140,-99,7.00,9
141,-98,7.75,9
142,-98,8.00,9
143,-99,7.25,9
144,-98,7.75,9
145,-98,8.25,9
146,-97,8.50,9
147,-98,8.00,9
148,-98,8.00,9
