index,rssi,snr,sf
0,-74,9.50,7
1,-75,9.75,7
2,-80,9.50,7
3,-79,9.50,7
4,-75,10.00,7
5,-77,12.50,7
6,-74,10.00,7
7,-72,9.50,7
8,-75,9.50,7
9,-73,9.75,7
10,-76,9.25,7
11,-76,11.75,7
12,-73,9.50,7
13,-75,9.75,7
14,-74,10.00,7
15,-76,9.25,7
16,-77,9.50,7
17,-77,9.50,7
18,-76,9.50,7
19,-76,8.75,7
20,-75,9.50,7
21,-76,9.50,7
22,-76,9.25,7
23,-75,9.50,7
24,-74,9.50,7
25,-76,9.25,7
26,-75,9.25,7
27,-75,9.50,7
28,-73,9.50,7
29,-75,9.25,7
30,-74,9.50,7
31,-76,9.25,7
32,-75,9.25,7
33,-73,9.75,7
34,-77,9.50,7
35,-78,9.75,7
36,-76,9.25,7
37,-74,9.50,7
38,-75,9.25,7
39,-76,9.50,7
40,-75,9.50,7
41,-74,9.75,7
42,-75,9.50,7
43,-76,9.50,7
44,-76,9.25,7
45,-75,9.00,7
46,-76,9.25,7
47,-75,9.75,7
48,-73,9.50,7
49,-73,9.50,7
50,-78,11.75,8
51,-78,11.75,8
52,-76,10.50,8
53,-79,12.00,8
54,-76,10.25,8
55,-77,12.00,8
56,-78,12.00,8
57,-76,11.75,8
58,-73,12.00,8
59,-73,11.75,8
60,-72,12.25,8
61,-72,12.00,8
62,-72,12.00,8
63,-72,11.75,8
64,-71,11.75,8
65,-72,12.25,8
66,-72,12.00,8
67,-72,12.00,8
68,-74,11.75,8
69,-74,11.75,8
70,-73,12.00,8
71,-73,12.00,8
72,-73,12.00,8
73,-73,11.75,8
74,-72,12.00,8
75,-73,12.00,8
76,-73,11.75,8
77,-73,11.75,8
78,-74,11.75,8
79,-74,11.75,8
80,-74,12.00,8
81,-74,12.00,8
82,-73,12.25,8
83,-73,12.00,8
84,-73,12.00,8
85,-75,12.00,8
86,-74,11.75,8
87,-72,12.00,8
88,-73,12.00,8
89,-74,12.00,8
90,-72,12.00,8
91,-74,11.75,8
92,-73,12.00,8
93,-74,11.75,8
94,-72,12.25,8
95,-73,12.00,8
96,-76,11.25,8
97,-76,11.50,8
98,-78,12.00,8
99,-76,11.25,8
100,-76,10.00,9
101,-76,10.00,9
102,-75,12.25,9
103,-75,10.25,9
104,-75,10.00,9
105,-76,11.75,9
106,-76,10.25,9
107,-76,10.25,9
108,-76,10.25,9
109,-75,9.75,9
110,-74,13.50,9
111,-75,12.75,9
112,-75,10.00,9
113,-75,10.25,9
114,-75,10.50,9
115,-75,10.00,9
116,-75,10.25,9
117,-74,13.00,9
118,-74,13.00,9
119,-75,10.75,9
120,-72,13.50,9
121,-72,13.25,9
122,-72,13.25,9
123,-73,13.50,9
124,-75,12.75,9
125,-73,13.25,9
126,-74,13.50,9
127,-75,12.75,9
128,-75,7.75,9
129,-74,13.25,9
130,-75,10.25,9
131,-73,12.50,9
132,-74,13.25,9
133,-75,10.00,9
134,-77,13.50,9
135,-73,13.25,9
136,-75,10.25,9
137,-77,14.00,9
138,-76,10.25,9
139,-75,10.00,9
140,-75,10.00,9
141,-77,13.50,9
142,-76,10.50,9
143,-76,10.25,9
144,-75,10.00,9
145,-75,10.00,9
146,-75,12.50,9
147,-76,12.50,9
148,-75,11.00,9
149,-76,13.00,9
150,-78,14.00,10
151,-77,13.50,10
152,-76,10.50,10
153,-78,13.50,10
154,-77,11.75,10
155,-76,10.50,10
156,-76,9.75,10
157,-76,10.00,10
158,-75,10.75,10
159,-75,10.75,10
160,-77,11.00,10
161,-76,10.25,10
162,-75,10.75,10
163,-76,9.75,10
164,-77,12.50,10
165,-74,12.00,10
166,-78,13.75,10
167,-77,12.00,10
168,-75,10.75,10
169,-76,10.25,10
170,-75,10.25,10
171,-75,11.25,10
172,-75,10.75,10
173,-75,11.25,10
174,-75,11.50,10
203,-74,12.25,11
204,-76,10.50,11
205,-79,12.25,11
206,-76,11.00,11
207,-78,10.00,11
208,-75,10.25,11
209,-77,9.75,11
210,-78,9.00,11
211,-76,9.50,11
212,-78,9.50,11
213,-77,10.00,11
214,-78,9.75,11
215,-78,8.75,11
216,-76,10.00,11
217,-78,9.25,11
218,-78,9.00,11
219,-77,9.00,11
220,-75,10.75,11
221,-76,10.50,11
222,-75,10.75,11
223,-78,9.50,11
224,-77,9.75,11
225,-76,10.25,11
226,-78,9.25,11
227,-78,11.50,11
228,-78,10.25,11
229,-77,9.75,11
230,-77,10.25,11
231,-77,10.50,11
232,-77,9.00,11
233,-77,9.50,11
234,-77,9.00,11
235,-77,9.25,11
236,-76,10.50,11
237,-78,9.25,11
238,-76,10.50,11
239,-78,11.25,11
240,-78,11.25,11
241,-77,9.75,11
242,-77,9.50,11
243,-77,9.50,11
244,-77,10.25,11
245,-77,9.75,11
246,-78,10.75,11
247,-76,9.75,11
248,-77,9.75,11
249,-78,9.25,11
250,-77,8.25,12
251,-78,8.75,12
252,-78,8.75,12
253,-78,8.75,12
254,-78,9.25,12
255,-77,9.00,12
256,-77,8.50,12
257,-78,9.75,12
258,-77,8.25,12
259,-78,9.50,12
260,-77,9.25,12
261,-77,10.00,12
262,-78,9.25,12
263,-78,9.00,12
264,-78,9.75,12
265,-78,9.00,12
266,-76,9.25,12
267,-77,10.00,12
268,-78,9.25,12
269,-78,10.25,12
270,-78,10.00,12
271,-77,9.25,12
272,-77,9.75,12
273,-76,7.75,12
274,-77,8.00,12
275,-77,11.25,12
276,-76,8.75,12
277,-77,9.00,12
278,-76,7.75,12
279,-77,8.50,12
280,-75,8.75,12
281,-75,8.50,12
282,-76,8.75,12
283,-77,9.75,12
284,-78,9.25,12
285,-77,9.75,12
286,-77,9.00,12
287,-78,11.75,12
288,-77,9.00,12
289,-77,8.75,12
290,-79,11.00,12
291,-78,11.00,12
292,-77,8.50,12
293,-78,10.00,12
294,-77,8.50,12
295,-76,8.75,12
296,-78,9.25,12
297,-77,8.25,12
298,-78,9.25,12
299,-77,8.75,12
300,-75,9.25,7
301,-75,12.00,7
303,-76,9.25,7
304,-75,9.25,7
305,-75,9.75,7
306,-76,12.25,7
307,-76,9.50,7
308,-74,9.75,7
309,-73,10.00,7
310,-75,9.50,7
311,-75,9.75,7
312,-74,9.75,7
313,-75,9.75,7
314,-74,9.50,7
315,-73,9.75,7
316,-75,9.25,7
318,-75,9.25,7
319,-76,9.50,7
320,-75,9.50,7
321,-75,11.75,7
322,-74,9.25,7
323,-77,12.25,7
324,-76,9.50,7
325,-74,12.25,7
326,-74,9.50,7
327,-74,10.25,7
328,-74,9.25,7
329,-75,9.00,7
330,-75,9.25,7
331,-75,9.25,7
332,-75,9.75,7
