,DevName,Freq,RSSI,SNR,SF,BW,CR,Time,Seq,Payload,Lat,Long,Dist,Prx,PL
0,ohm-01,868100000,-120,-13,12,125,5-Apr,2018-08-21T07:56:17.438592Z,4,"Hello, GPS Coord (33.73273, 35.78349)",33.73273,35.78349,9.043064646,-133,153
1,ohm-01,868100000,-121,-10.8,12,125,5-Apr,2018-08-21T07:56:28.00489Z,5,"Hello, GPS Coord (33.73273, 35.78349)",33.73273,35.78349,9.043064646,-131.8,151.8
2,ohm-01,868100000,-120,-10,12,125,5-Apr,2018-08-21T07:56:38.571199Z,6,"Hello, GPS Coord (33.73273, 35.78349)",33.73273,35.78349,9.043064646,-130,150
3,ohm-01,868100000,-119,-12.2,12,125,5-Apr,2018-08-21T07:56:49.137516Z,7,"Hello, GPS Coord (33.73273, 35.78349)",33.73273,35.78349,9.043064646,-131.2,151.2
4,ohm-01,868100000,-120,-10.2,12,125,5-Apr,2018-08-21T07:56:59.809814Z,8,"Hello, GPS Coord (33.73273, 35.78349)",33.73273,35.78349,9.043064646,-130.2,150.2
5,ohm-01,868100000,-118,-8.5,12,125,5-Apr,2018-08-21T07:57:31.500745Z,11,"Hello, GPS Coord (33.73273, 35.78349)",33.73273,35.78349,9.043064646,-126.5,146.5
6,ohm-01,868100000,-119,-8.5,12,125,5-Apr,2018-08-21T07:57:41.955037Z,12,"Hello, GPS Coord (33.73273, 35.78349)",33.73273,35.78349,9.043064646,-127.5,147.5
7,ohm-01,868100000,-120,-9,12,125,5-Apr,2018-08-21T07:58:03.521669Z,14,"Hello, GPS Coord (33.73273, 35.78349)",33.73273,35.78349,9.043064646,-129,149
8,ohm-01,868100000,-120,-10.2,12,125,5-Apr,2018-08-21T07:58:25.742316Z,16,"Hello, GPS Coord (33.73273, 35.78349)",33.73273,35.78349,9.043064646,-130.2,150.2
9,ohm-01,868100000,-121,-8.8,12,125,5-Apr,2018-08-21T07:59:07.887539Z,20,"Hello, GPS Coord (33.73273, 35.78349)",33.73273,35.78349,9.043064646,-129.8,149.8
10,ohm-01,868100000,-120,-6,12,125,5-Apr,2018-08-21T07:59:39.472454Z,23,"Hello, GPS Coord (33.73273, 35.78349)",33.73273,35.78349,9.043064646,-126,146
11,ohm-01,868100000,-121,-12.5,12,125,5-Apr,2018-08-21T07:59:50.036761Z,24,"Hello, GPS Coord (33.73273, 35.78349)",33.73273,35.78349,9.043064646,-133.5,153.5
12,ohm-01,868100000,-120,-4.5,12,125,5-Apr,2018-08-21T08:00:31.15396Z,25,"Hello, GPS Coord (33.73273, 35.78349)",33.73273,35.78349,9.043064646,-124.5,144.5
13,ohm-01,868100000,-103,9.8,12,125,5-Apr,2018-08-21T09:19:35.481425Z,0,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-103,123
14,ohm-01,868100000,-101,9,12,125,5-Apr,2018-08-21T09:19:47.029758Z,1,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-101,121
15,ohm-01,868100000,-102,9.2,12,125,5-Apr,2018-08-21T09:19:57.914073Z,2,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-102,122
16,ohm-01,868100000,-99,10.2,12,125,5-Apr,2018-08-21T09:20:09.350405Z,3,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-99,119
17,ohm-01,868100000,-102,7,12,125,5-Apr,2018-08-21T09:20:20.894729Z,4,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-102,122
18,ohm-01,868100000,-102,7.8,12,125,5-Apr,2018-08-21T09:20:31.135022Z,5,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-102,122
19,ohm-01,868100000,-102,8,12,125,5-Apr,2018-08-21T09:20:41.479321Z,6,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-102,122
20,ohm-01,868100000,-100,7.8,12,125,5-Apr,2018-08-21T09:20:51.823612Z,7,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-100,120
21,ohm-01,868100000,-102,7.5,12,125,5-Apr,2018-08-21T09:21:02.819928Z,8,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-102,122
22,ohm-01,868100000,-100,10.5,12,125,5-Apr,2018-08-21T09:21:14.366252Z,9,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-100,120
23,ohm-01,868100000,-99,8,12,125,5-Apr,2018-08-21T09:21:26.018575Z,10,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-99,119
24,ohm-01,868100000,-96,8.2,12,125,5-Apr,2018-08-21T09:21:37.672909Z,11,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-96,116
25,ohm-01,868100000,-99,8.5,12,125,5-Apr,2018-08-21T09:21:49.327233Z,12,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-99,119
26,ohm-01,868100000,-101,9.5,12,125,5-Apr,2018-08-21T09:22:00.979557Z,13,"Hello, GPS Coord (33.67387, 35.75)",33.67387,35.75,1.874685371,-101,121
27,ohm-01,868100000,-97,8.8,12,125,5-Apr,2018-08-21T09:22:11.323849Z,14,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-97,117
28,ohm-01,868100000,-100,7.8,12,125,5-Apr,2018-08-21T09:22:21.670132Z,15,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-100,120
29,ohm-01,868100000,-99,8.5,12,125,5-Apr,2018-08-21T09:22:32.016415Z,16,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-99,119
30,ohm-01,868100000,-101,10,12,125,5-Apr,2018-08-21T09:22:42.3607Z,17,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-101,121
31,ohm-01,868100000,-105,9.2,12,125,5-Apr,2018-08-21T09:22:52.704984Z,18,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-105,125
32,ohm-01,868100000,-97,9,12,125,5-Apr,2018-08-21T09:23:02.941259Z,19,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-97,117
33,ohm-01,868100000,-99,10,12,125,5-Apr,2018-08-21T09:23:13.181535Z,20,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-99,119
34,ohm-01,868100000,-99,8.5,12,125,5-Apr,2018-08-21T09:23:24.397835Z,21,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-99,119
35,ohm-01,868100000,-99,10,12,125,5-Apr,2018-08-21T09:23:35.508135Z,22,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-99,119
36,ohm-01,868100000,-99,9,12,125,5-Apr,2018-08-21T09:23:46.722435Z,23,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-99,119
37,ohm-01,868100000,-99,9.5,12,125,5-Apr,2018-08-21T09:23:57.720727Z,24,"Hello, GPS Coord (33.67387, 35.75358)",33.67387,35.75358,1.94516257,-99,119
38,ohm-01,868100000,-100,6.8,12,125,5-Apr,2018-08-21T09:27:30.050227Z,0,"Hello, GPS Coord (33.67065, 35.75033)",33.67065,35.75033,1.525426663,-100,120
39,ohm-01,868100000,-115,5.2,12,125,5-Apr,2018-08-21T09:27:40.944543Z,1,"Hello, GPS Coord (33.67065, 35.75033)",33.67065,35.75033,1.525426663,-115,135
40,ohm-01,868100000,-102,4.8,12,125,5-Apr,2018-08-21T09:27:52.056867Z,2,"Hello, GPS Coord (33.67065, 35.75033)",33.67065,35.75033,1.525426663,-102,122
41,ohm-01,868100000,-106,4,12,125,5-Apr,2018-08-21T09:28:03.169167Z,3,"Hello, GPS Coord (33.67065, 35.75033)",33.67065,35.75033,1.525426663,-106,126
42,ohm-01,868100000,-102,6.5,12,125,5-Apr,2018-08-21T09:28:14.801499Z,4,"Hello, GPS Coord (33.67068, 35.75033)",33.67068,35.75033,1.528709488,-102,122
43,ohm-01,868100000,-113,4.8,12,125,5-Apr,2018-08-21T09:28:25.585815Z,5,"Hello, GPS Coord (33.67068, 35.75033)",33.67068,35.75033,1.528709488,-113,133
44,ohm-01,868100000,-99,3.5,12,125,5-Apr,2018-08-21T09:28:36.588123Z,6,"Hello, GPS Coord (33.67068, 35.75033)",33.67068,35.75033,1.528709488,-99,119
45,ohm-01,868100000,-105,3,12,125,5-Apr,2018-08-21T09:28:47.586431Z,7,"Hello, GPS Coord (33.67068, 35.75033)",33.67068,35.75033,1.528709488,-105,125
46,ohm-01,868100000,-99,2.5,12,125,5-Apr,2018-08-21T09:28:58.476739Z,8,"Hello, GPS Coord (33.67068, 35.75033)",33.67068,35.75033,1.528709488,-99,119
47,ohm-01,868100000,-104,4.2,12,125,5-Apr,2018-08-21T09:29:31.257639Z,11,"Hello, GPS Coord (33.67068, 35.75033)",33.67068,35.75033,1.528709488,-104,124
48,ohm-01,868100000,-102,5,12,125,5-Apr,2018-08-21T09:30:05.780595Z,14,"Hello, GPS Coord (33.67068, 35.75033)",33.67068,35.75033,1.528709488,-102,122
49,ohm-01,868100000,-105,4.8,12,125,5-Apr,2018-08-21T09:30:16.670895Z,15,"Hello, GPS Coord (33.67068, 35.75033)",33.67068,35.75033,1.528709488,-105,125
50,ohm-01,868100000,-109,2.5,12,125,5-Apr,2018-08-21T09:30:27.561195Z,16,"Hello, GPS Coord (33.67068, 35.75033)",33.67068,35.75033,1.528709488,-109,129
51,ohm-01,868100000,-103,3.8,12,125,5-Apr,2018-08-21T09:30:49.451795Z,18,"Hello, GPS Coord (33.67068, 35.75033)",33.67068,35.75033,1.528709488,-103,123
52,ohm-01,868100000,-113,1.5,12,125,5-Apr,2018-08-21T09:31:00.450111Z,19,"Hello, GPS Coord (33.67068, 35.75033)",33.67068,35.75033,1.528709488,-113,133
53,ohm-01,868100000,-103,1.2,12,125,5-Apr,2018-08-21T09:31:11.556419Z,20,"Hello, GPS Coord (33.67068, 35.75033)",33.67068,35.75033,1.528709488,-103,123
54,ohm-01,868100000,-111,4,12,125,5-Apr,2018-08-21T09:31:22.338703Z,21,"Hello, GPS Coord (33.67068, 35.75033)",33.67068,35.75033,1.528709488,-111,131
