,DevName,Freq,RSSI,SNR,SF,BW,CR,Time,Seq,Payload,Lat,Long,Dist,Prx,PL
0,ohm-02,868300000,-117,-1.2,12,125,5-Apr,2018-08-21T08:16:04.501534Z,0,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-118.2,138.2
1,ohm-02,868300000,-118,-2.5,12,125,5-Apr,2018-08-21T08:16:15.611858Z,1,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-120.5,140.5
2,ohm-02,868300000,-112,3,12,125,5-Apr,2018-08-21T08:16:26.72619Z,2,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-112,132
3,ohm-02,868300000,-113,-1.5,12,125,5-Apr,2018-08-21T08:16:37.84053Z,3,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-114.5,134.5
4,ohm-02,868300000,-113,-5.8,12,125,5-Apr,2018-08-21T08:16:48.948846Z,4,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-118.8,138.8
5,ohm-02,868300000,-108,0,12,125,5-Apr,2018-08-21T08:17:00.057179Z,5,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-108,128
6,ohm-02,868300000,-118,-1.2,12,125,5-Apr,2018-08-21T08:17:11.38751Z,6,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-119.2,139.2
7,ohm-02,868300000,-118,-5.5,12,125,5-Apr,2018-08-21T08:17:22.82585Z,7,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-123.5,143.5
8,ohm-02,868300000,-115,0,12,125,5-Apr,2018-08-21T08:17:33.062149Z,8,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-115,135
9,ohm-02,868300000,-114,-8,12,125,5-Apr,2018-08-21T08:17:44.498481Z,9,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-122,142
10,ohm-02,868300000,-119,-8,12,125,5-Apr,2018-08-21T08:17:55.828829Z,10,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-127,147
11,ohm-02,868300000,-114,-11.8,12,125,5-Apr,2018-08-21T08:18:07.265162Z,11,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-125.8,145.8
12,ohm-02,868300000,-107,2.5,12,125,5-Apr,2018-08-21T08:18:17.503461Z,12,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-107,127
13,ohm-02,868300000,-118,1,12,125,5-Apr,2018-08-21T08:18:28.939793Z,13,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-118,138
14,ohm-02,868300000,-117,-2.8,12,125,5-Apr,2018-08-21T08:18:40.376125Z,14,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-119.8,139.8
15,ohm-02,868300000,-116,1,12,125,5-Apr,2018-08-21T08:18:51.706457Z,15,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-116,136
16,ohm-02,868300000,-115,-1.5,12,125,5-Apr,2018-08-21T08:19:02.052758Z,16,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-116.5,136.5
17,ohm-02,868300000,-113,-0.8,12,125,5-Apr,2018-08-21T08:19:12.289048Z,17,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-113.8,133.8
18,ohm-02,868300000,-112,4,12,125,5-Apr,2018-08-21T08:19:23.72538Z,18,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-112,132
19,ohm-02,868300000,-109,2.5,12,125,5-Apr,2018-08-21T08:19:35.163712Z,19,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-109,129
20,ohm-02,868300000,-115,1.2,12,125,5-Apr,2018-08-21T08:19:46.496044Z,20,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-115,135
21,ohm-02,868300000,-114,-4.2,12,125,5-Apr,2018-08-21T08:19:56.842344Z,21,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-118.2,138.2
22,ohm-02,868300000,-118,-5,12,125,5-Apr,2018-08-21T08:20:07.078651Z,22,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-123,143
23,ohm-02,868300000,-114,-4.8,12,125,5-Apr,2018-08-21T08:20:18.516984Z,23,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-118.8,138.8
24,ohm-02,868300000,-117,-0.5,12,125,5-Apr,2018-08-21T08:21:10.838514Z,25,"Hello, GPS Coord (33.71553, 35.77373)",33.71553,35.77373,6.93362679,-117.5,137.5
25,ohm-02,868300000,-90,11.5,12,125,5-Apr,2018-08-21T09:36:24.714524Z,2,"Hello, GPS Coord (33.6661, 35.74605)",33.6661,35.74605,1.003006996,-90,110
26,ohm-02,868300000,-86,9.8,12,125,5-Apr,2018-08-21T09:36:35.82284Z,3,"Hello, GPS Coord (33.6661, 35.74605)",33.6661,35.74605,1.003006996,-86,106
27,ohm-02,868300000,-87,10.2,12,125,5-Apr,2018-08-21T09:36:47.781196Z,4,"Hello, GPS Coord (33.6661, 35.74605)",33.6661,35.74605,1.003006996,-87,107
28,ohm-02,868300000,-87,10.5,12,125,5-Apr,2018-08-21T09:36:58.78352Z,5,"Hello, GPS Coord (33.6661, 35.74605)",33.6661,35.74605,1.003006996,-87,107
29,ohm-02,868300000,-90,8,12,125,5-Apr,2018-08-21T09:37:09.893852Z,6,"Hello, GPS Coord (33.6661, 35.74605)",33.6661,35.74605,1.003006996,-90,110
30,ohm-02,868300000,-88,9.5,12,125,5-Apr,2018-08-21T09:37:21.006175Z,7,"Hello, GPS Coord (33.6661, 35.74605)",33.6661,35.74605,1.003006996,-88,108
31,ohm-02,868300000,-87,8.8,12,125,5-Apr,2018-08-21T09:37:32.226508Z,8,"Hello, GPS Coord (33.6661, 35.74605)",33.6661,35.74605,1.003006996,-87,107
32,ohm-02,868300000,-87,10.8,12,125,5-Apr,2018-08-21T09:37:43.334832Z,9,"Hello, GPS Coord (33.6661, 35.74605)",33.6661,35.74605,1.003006996,-87,107
33,ohm-02,868300000,-85,11.5,12,125,5-Apr,2018-08-21T09:37:54.445164Z,10,"Hello, GPS Coord (33.6661, 35.74605)",33.6661,35.74605,1.003006996,-85,105
34,ohm-02,868300000,-87,11.2,12,125,5-Apr,2018-08-21T09:38:05.553504Z,11,"Hello, GPS Coord (33.6661, 35.74605)",33.6661,35.74605,1.003006996,-87,107
35,ohm-02,868300000,-88,9.2,12,125,5-Apr,2018-08-21T09:38:16.875836Z,12,"Hello, GPS Coord (33.6661, 35.74605)",33.6661,35.74605,1.003006996,-88,108
36,ohm-02,868300000,-87,13.2,12,125,5-Apr,2018-08-21T09:38:27.772144Z,13,"Hello, GPS Coord (33.6661, 35.74605)",33.6661,35.74605,1.003006996,-87,107
37,ohm-02,868300000,-87,10.8,12,125,5-Apr,2018-08-21T09:38:38.882476Z,14,"Hello, GPS Coord (33.6661, 35.74605)",33.6661,35.74605,1.003006996,-87,107
