,DevName,Freq,RSSI,SNR,SF,BW,CR,Time,Seq,Payload,Lat,Long,Dist,Prx,PL
0,ohm-5,868500000,-117,1.2,12,125,5-Apr,2018-08-21T08:04:18.472463Z,0,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-117,137
1,ohm-5,868500000,-114,1.8,12,125,5-Apr,2018-08-21T08:04:29.584755Z,1,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-114,134
2,ohm-5,868500000,-115,1.8,12,125,5-Apr,2018-08-21T08:04:40.589039Z,2,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-115,135
3,ohm-5,868500000,-115,1.5,12,125,5-Apr,2018-08-21T08:04:51.915331Z,3,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-115,135
4,ohm-5,868500000,-117,1.5,12,125,5-Apr,2018-08-21T08:05:02.809607Z,4,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-117,137
5,ohm-5,868500000,-115,-0.2,12,125,5-Apr,2018-08-21T08:05:13.923898Z,5,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-115.2,135.2
6,ohm-5,868500000,-117,0.8,12,125,5-Apr,2018-08-21T08:05:25.142182Z,6,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-117,137
7,ohm-5,868500000,-114,1,12,125,5-Apr,2018-08-21T08:05:36.146474Z,7,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-114,134
8,ohm-5,868500000,-117,1.2,12,125,5-Apr,2018-08-21T08:05:47.256766Z,8,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-117,137
9,ohm-5,868500000,-115,0,12,125,5-Apr,2018-08-21T08:05:58.257042Z,9,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-115,135
10,ohm-5,868500000,-114,0.5,12,125,5-Apr,2018-08-21T08:06:09.365334Z,10,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-114,134
11,ohm-5,868500000,-114,0.2,12,125,5-Apr,2018-08-21T08:06:20.365618Z,11,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-114,134
12,ohm-5,868500000,-114,1,12,125,5-Apr,2018-08-21T08:06:31.369902Z,12,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-114,134
13,ohm-5,868500000,-115,1,12,125,5-Apr,2018-08-21T08:06:42.478193Z,13,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-115,135
14,ohm-5,868500000,-115,1.2,12,125,5-Apr,2018-08-21T08:06:53.588477Z,14,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-115,135
15,ohm-5,868500000,-115,1.8,12,125,5-Apr,2018-08-21T08:07:04.702769Z,15,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-115,135
16,ohm-5,868500000,-112,1.5,12,125,5-Apr,2018-08-21T08:07:15.921053Z,16,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-112,132
17,ohm-5,868500000,-114,0.5,12,125,5-Apr,2018-08-21T08:07:27.031338Z,17,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-114,134
18,ohm-5,868500000,-111,1.5,12,125,5-Apr,2018-08-21T08:07:38.14363Z,18,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-111,131
19,ohm-5,868500000,-113,2.2,12,125,5-Apr,2018-08-21T08:07:49.361921Z,19,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-113,133
20,ohm-5,868500000,-109,2,12,125,5-Apr,2018-08-21T08:08:00.584205Z,20,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-109,129
21,ohm-5,868500000,-114,1.2,12,125,5-Apr,2018-08-21T08:08:12.020506Z,21,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-114,134
22,ohm-5,868500000,-111,1.5,12,125,5-Apr,2018-08-21T08:08:22.150763Z,22,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-111,131
23,ohm-5,868500000,-113,0.2,12,125,5-Apr,2018-08-21T08:08:33.589056Z,23,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-113,133
24,ohm-5,868500000,-112,1,12,125,5-Apr,2018-08-21T08:08:43.719316Z,24,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-112,132
25,ohm-5,868500000,-113,-2,12,125,5-Apr,2018-08-21T08:09:24.834378Z,25,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-115,135
26,ohm-5,868500000,-112,-0.2,12,125,5-Apr,2018-08-21T08:09:36.16067Z,26,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-112.2,132.2
27,ohm-5,868500000,-113,1.2,12,125,5-Apr,2018-08-21T08:09:47.492962Z,27,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-113,133
28,ohm-5,868500000,-111,0,12,125,5-Apr,2018-08-21T08:09:58.931262Z,28,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-111,131
29,ohm-5,868500000,-114,-4.5,12,125,5-Apr,2018-08-21T08:10:10.257562Z,29,"Hello, GPS Coord (33.72428, 35.77905)",33.72428,35.77905,8.018323487,-118.5,138.5
30,ohm-5,868500000,-100,3.8,12,125,5-Apr,2018-08-21T09:27:37.132943Z,2,"Hello, GPS Coord (33.67064, 35.75032)",33.67064,35.75032,1.524168077,-100,120
31,ohm-5,868500000,-100,6,12,125,5-Apr,2018-08-21T09:27:48.133219Z,3,"Hello, GPS Coord (33.67064, 35.75032)",33.67064,35.75032,1.524168077,-100,120
32,ohm-5,868500000,-100,5.8,12,125,5-Apr,2018-08-21T09:27:58.915494Z,4,"Hello, GPS Coord (33.67064, 35.75032)",33.67064,35.75032,1.524168077,-100,120
33,ohm-5,868500000,-102,6,12,125,5-Apr,2018-08-21T09:28:09.807777Z,5,"Hello, GPS Coord (33.67064, 35.75032)",33.67064,35.75032,1.524168077,-102,122
34,ohm-5,868500000,-100,7.5,12,125,5-Apr,2018-08-21T09:28:20.798045Z,6,"Hello, GPS Coord (33.67064, 35.75032)",33.67064,35.75032,1.524168077,-100,120
35,ohm-5,868500000,-102,7.2,12,125,5-Apr,2018-08-21T09:28:31.470321Z,7,"Hello, GPS Coord (33.67064, 35.75032)",33.67064,35.75032,1.524168077,-102,122
36,ohm-5,868500000,-100,7.5,12,125,5-Apr,2018-08-21T09:28:42.254597Z,8,"Hello, GPS Coord (33.67064, 35.75032)",33.67064,35.75032,1.524168077,-100,120
37,ohm-5,868500000,-103,8.8,12,125,5-Apr,2018-08-21T09:28:53.036864Z,9,"Hello, GPS Coord (33.67064, 35.75032)",33.67064,35.75032,1.524168077,-103,123
38,ohm-5,868500000,-101,7.2,12,125,5-Apr,2018-08-21T09:29:03.819141Z,10,"Hello, GPS Coord (33.67064, 35.75032)",33.67064,35.75032,1.524168077,-101,121
39,ohm-5,868500000,-101,7,12,125,5-Apr,2018-08-21T09:29:14.709425Z,11,"Hello, GPS Coord (33.67064, 35.75032)",33.67064,35.75032,1.524168077,-101,121
40,ohm-5,868500000,-100,6.8,12,125,5-Apr,2018-08-21T09:29:25.491701Z,12,"Hello, GPS Coord (33.67064, 35.75032)",33.67064,35.75032,1.524168077,-100,120
