,DevName,Freq,RSSI,SNR,SF,BW,CR,Time,Seq,Payload,Lat,Long,Dist,alt,Prx,PL
0,ohm-02,868500000,-96,6.2,12,125,5-Apr,2018-07-03T14:29:44.416117Z,25,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-96,116
1,ohm-02,868500000,-97,6.2,12,125,5-Apr,2018-07-03T14:29:54.426408Z,26,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-97,117
2,ohm-02,868300000,-103,5.2,12,125,5-Apr,2018-07-03T14:30:04.436699Z,27,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-103,123
3,ohm-02,868500000,-98,5.5,12,125,5-Apr,2018-07-03T14:30:14.446983Z,28,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-98,118
4,ohm-02,868500000,-103,6.8,12,125,5-Apr,2018-07-03T14:30:24.457274Z,29,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-103,123
5,ohm-02,868100000,-94,7.8,12,125,5-Apr,2018-07-03T14:30:34.467573Z,30,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-94,114
6,ohm-02,868500000,-103,6.8,12,125,5-Apr,2018-07-03T14:30:44.477857Z,31,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-103,123
7,ohm-02,868300000,-101,7.5,12,125,5-Apr,2018-07-03T14:30:54.488148Z,32,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-101,121
8,ohm-02,868500000,-95,6.5,12,125,5-Apr,2018-07-03T14:31:04.498431Z,33,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-95,115
9,ohm-02,868300000,-101,6,12,125,5-Apr,2018-07-03T14:31:14.508723Z,34,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-101,121
10,ohm-02,868500000,-94,5,12,125,5-Apr,2018-07-03T14:31:24.519005Z,35,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-94,114
