,DevName,Freq,RSSI,SNR,SF,BW,CR,Time,Seq,Payload,Lat,Long,Dist,alt,Prx,PL
0,ohm-02,868100000,-103,5.2,12,125,5-Apr,2018-07-03T14:34:55.233108Z,50,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-103,123
1,ohm-02,868100000,-106,3,12,125,5-Apr,2018-07-03T14:35:05.2434Z,51,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-106,126
2,ohm-02,868300000,-101,3,12,125,5-Apr,2018-07-03T14:35:15.253683Z,52,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-101,121
3,ohm-02,868100000,-114,4,12,125,5-Apr,2018-07-03T14:35:25.263982Z,53,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-114,134
4,ohm-02,868100000,-103,2,12,125,5-Apr,2018-07-03T14:35:35.274265Z,54,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-103,123
5,ohm-02,868100000,-107,5.2,12,125,5-Apr,2018-07-03T14:35:45.284557Z,55,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-107,127
6,ohm-02,868500000,-110,4,12,125,5-Apr,2018-07-03T14:35:55.294848Z,56,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-110,130
7,ohm-02,868100000,-108,3.5,12,125,5-Apr,2018-07-03T14:36:05.305147Z,57,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-108,128
8,ohm-02,868300000,-100,4.8,12,125,5-Apr,2018-07-03T14:36:15.315423Z,58,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-100,120
9,ohm-02,868100000,-106,3.8,12,125,5-Apr,2018-07-03T14:36:25.325714Z,59,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-106,126
10,ohm-02,868500000,-106,4.2,12,125,5-Apr,2018-07-03T14:36:35.335997Z,60,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-106,126
11,ohm-02,868500000,-105,4.5,12,125,5-Apr,2018-07-03T14:36:45.346289Z,61,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-105,125
12,ohm-02,868500000,-109,3.2,12,125,5-Apr,2018-07-03T14:36:55.35658Z,62,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-109,129
13,ohm-02,868300000,-103,4.2,12,125,5-Apr,2018-07-03T14:37:05.366871Z,63,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-103,123
14,ohm-02,868300000,-99,4,12,125,5-Apr,2018-07-03T14:37:15.377155Z,64,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-99,119
15,ohm-02,868500000,-103,0.2,12,125,5-Apr,2018-07-03T14:37:25.387446Z,65,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-103,123
16,ohm-02,868100000,-114,4.2,12,125,5-Apr,2018-07-03T14:37:35.397745Z,66,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-114,134
17,ohm-02,868100000,-107,3,12,125,5-Apr,2018-07-03T14:37:45.408029Z,67,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-107,127
18,ohm-02,868300000,-100,4.8,12,125,5-Apr,2018-07-03T14:37:55.41832Z,68,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-100,120
19,ohm-02,868300000,-101,5.2,12,125,5-Apr,2018-07-03T14:38:05.428611Z,69,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-101,121
20,ohm-02,868300000,-101,5.5,12,125,5-Apr,2018-07-03T14:38:15.438895Z,70,"Hello, GPS Coord (33.86872, 35.54346)",33.86872,35.54346,1.905305215,52,-101,121
