,RSSI,SNR,Freq,Prx,PL,Location,lat,long,Nb_floor,wall,Dist
0,-74,10.5,868300000,-74,94,loc_1,33.8657279,35.5635851,3,1,18.87612096
1,-72,11,868100000,-72,92,loc_1,33.8657279,35.5635851,3,1,18.87612096
2,-71,10,868300000,-71,91,loc_1,33.8657279,35.5635851,3,1,18.87612096
3,-72,8.8,868500000,-72,92,loc_1,33.8657279,35.5635851,3,1,18.87612096
4,-72,8,868500000,-72,92,loc_1,33.8657279,35.5635851,3,1,18.87612096
5,-73,10,868100000,-73,93,loc_1,33.8657279,35.5635851,3,1,18.87612096
6,-72,9.5,868100000,-72,92,loc_1,33.8657279,35.5635851,3,1,18.87612096
7,-73,7.5,868100000,-73,93,loc_1,33.8657279,35.5635851,3,1,18.87612096
8,-71,11,868300000,-71,91,loc_1,33.8657279,35.5635851,3,1,18.87612096
9,-75,10,868100000,-75,95,loc_1,33.8657279,35.5635851,3,1,18.87612096
10,-71,7.5,868500000,-71,91,loc_1,33.8657279,35.5635851,3,1,18.87612096
11,-72,8.8,868100000,-72,92,loc_1,33.8657279,35.5635851,3,1,18.87612096
12,-71,9.5,868300000,-71,91,loc_1,33.8657279,35.5635851,3,1,18.87612096
13,-73,11,868300000,-73,93,loc_1,33.8657279,35.5635851,3,1,18.87612096
14,-72,9.5,868500000,-72,92,loc_1,33.8657279,35.5635851,3,1,18.87612096
15,-73,9.8,868100000,-73,93,loc_1,33.8657279,35.5635851,3,1,18.87612096
16,-71,10.2,868300000,-71,91,loc_1,33.8657279,35.5635851,3,1,18.87612096
17,-73,9.8,868100000,-73,93,loc_1,33.8657279,35.5635851,3,1,18.87612096
18,-69,8.8,868500000,-69,89,loc_1,33.8657279,35.5635851,3,1,18.87612096
19,-107,7.2,868300000,-107,127,loc_3,33.8655553,35.5628485,4,2,84.68449223
20,-103,7.8,868100000,-103,123,loc_3,33.8655553,35.5628485,4,2,84.68449223
21,-111,6.8,868100000,-111,131,loc_3,33.8655553,35.5628485,4,2,84.68449223
22,-104,6.2,868300000,-104,124,loc_3,33.8655553,35.5628485,4,2,84.68449223
23,-107,5,868100000,-107,127,loc_3,33.8655553,35.5628485,4,2,84.68449223
24,-103,6.2,868300000,-103,123,loc_3,33.8655553,35.5628485,4,2,84.68449223
25,-105,5.5,868300000,-105,125,loc_3,33.8655553,35.5628485,4,2,84.68449223
26,-105,6.8,868100000,-105,125,loc_3,33.8655553,35.5628485,4,2,84.68449223
27,-103,5.8,868500000,-103,123,loc_3,33.8655553,35.5628485,4,2,84.68449223
28,-104,7.5,868300000,-104,124,loc_3,33.8655553,35.5628485,4,2,84.68449223
29,-109,8.2,868100000,-109,129,loc_3,33.8655553,35.5628485,4,2,84.68449223
30,-104,6.5,868300000,-104,124,loc_3,33.8655553,35.5628485,4,2,84.68449223
31,-111,8,868100000,-111,131,loc_3,33.8655553,35.5628485,4,2,84.68449223
32,-104,5.8,868500000,-104,124,loc_3,33.8655553,35.5628485,4,2,84.68449223
33,-105,7.8,868300000,-105,125,loc_3,33.8655553,35.5628485,4,2,84.68449223
34,-101,5.8,868300000,-101,121,loc_3,33.8655553,35.5628485,4,2,84.68449223
35,-104,6.2,868500000,-104,124,loc_3,33.8655553,35.5628485,4,2,84.68449223
36,-101,6.5,868300000,-101,121,loc_3,33.8655553,35.5628485,4,2,84.68449223
37,-103,1.2,868500000,-103,123,loc_3,33.8655553,35.5628485,4,2,84.68449223
38,-104,7,868300000,-104,124,loc_3,33.8655553,35.5628485,4,2,84.68449223
39,-91,8.8,868500000,-91,111,loc_4,33.8655679,35.5631423,3,2,57.59320553
40,-89,6.2,868500000,-89,109,loc_4,33.8655679,35.5631423,3,2,57.59320553
41,-91,8.5,868500000,-91,111,loc_4,33.8655679,35.5631423,3,2,57.59320553
42,-102,8.2,868300000,-102,122,loc_4,33.8655679,35.5631423,3,2,57.59320553
43,-97,9.8,868300000,-97,117,loc_4,33.8655679,35.5631423,3,2,57.59320553
44,-95,10.2,868300000,-95,115,loc_4,33.8655679,35.5631423,3,2,57.59320553
45,-90,8,868500000,-90,110,loc_4,33.8655679,35.5631423,3,2,57.59320553
46,-95,9.8,868300000,-95,115,loc_4,33.8655679,35.5631423,3,2,57.59320553
47,-90,8,868300000,-90,110,loc_4,33.8655679,35.5631423,3,2,57.59320553
48,-99,7,868100000,-99,119,loc_4,33.8655679,35.5631423,3,2,57.59320553
49,-94,7,868100000,-94,114,loc_4,33.8655679,35.5631423,3,2,57.59320553
50,-97,8.5,868500000,-97,117,loc_4,33.8655679,35.5631423,3,2,57.59320553
51,-93,6.2,868500000,-93,113,loc_4,33.8655679,35.5631423,3,2,57.59320553
52,-102,11.5,868100000,-102,122,loc_4,33.8655679,35.5631423,3,2,57.59320553
53,-91,9.2,868100000,-91,111,loc_4,33.8655679,35.5631423,3,2,57.59320553
54,-89,7.2,868500000,-89,109,loc_4,33.8655679,35.5631423,3,2,57.59320553
55,-100,8.5,868100000,-100,120,loc_4,33.8655679,35.5631423,3,2,57.59320553
56,-95,8.2,868500000,-95,115,loc_4,33.8655679,35.5631423,3,2,57.59320553
57,-97,8.5,868100000,-97,117,loc_4,33.8655679,35.5631423,3,2,57.59320553
58,-85,8.5,868500000,-85,105,loc_5,33.8656454,35.5634523,3,2,28.4163865
59,-87,9.5,868300000,-87,107,loc_5,33.8656454,35.5634523,3,2,28.4163865
60,-90,10,868300000,-90,110,loc_5,33.8656454,35.5634523,3,2,28.4163865
61,-83,10.5,868100000,-83,103,loc_5,33.8656454,35.5634523,3,2,28.4163865
62,-85,9,868100000,-85,105,loc_5,33.8656454,35.5634523,3,2,28.4163865
63,-84,10.8,868300000,-84,104,loc_5,33.8656454,35.5634523,3,2,28.4163865
64,-91,8.8,868500000,-91,111,loc_5,33.8656454,35.5634523,3,2,28.4163865
65,-81,8.2,868500000,-81,101,loc_5,33.8656454,35.5634523,3,2,28.4163865
66,-81,8.5,868500000,-81,101,loc_5,33.8656454,35.5634523,3,2,28.4163865
67,-84,9.8,868100000,-84,104,loc_5,33.8656454,35.5634523,3,2,28.4163865
68,-86,8.8,868300000,-86,106,loc_5,33.8656454,35.5634523,3,2,28.4163865
69,-81,11,868300000,-81,101,loc_5,33.8656454,35.5634523,3,2,28.4163865
