,DevName,Freq,RSSI,SNR,SF,BW,CR,Time,Seq,Payload,Lat,Long,Dist,Prx,PL,height
0,ohm-01,868100000,-72,9.5,12,125,5-Apr,2018-07-04T12:27:54.593002Z,0,"Hello, GPS Coord (33.86536, 35.56462)",33.86536,35.56462,0.085290042,-72,92,0.2
1,ohm-01,868100000,-69,9.8,12,125,5-Apr,2018-07-04T12:28:05.37331Z,1,"Hello, GPS Coord (33.86536, 35.56462)",33.86536,35.56462,0.085290042,-69,89,0.2
2,ohm-01,868100000,-72,9.5,12,125,5-Apr,2018-07-04T12:28:16.049625Z,2,"Hello, GPS Coord (33.86534, 35.56452)",33.86534,35.56452,0.07769673,-72,92,0.2
3,ohm-01,868300000,-67,11,12,125,5-Apr,2018-07-04T12:28:27.379957Z,3,"Hello, GPS Coord (33.86534, 35.56452)",33.86534,35.56452,0.07769673,-67,87,0.2
4,ohm-01,868300000,-67,10.5,12,125,5-Apr,2018-07-04T12:28:38.596289Z,4,"Hello, GPS Coord (33.86534, 35.56452)",33.86534,35.56452,0.07769673,-67,87,0.2
5,ohm-01,868500000,-66,9.2,12,125,5-Apr,2018-07-04T12:28:50.02863Z,5,"Hello, GPS Coord (33.86534, 35.56452)",33.86534,35.56452,0.07769673,-66,86,0.2
6,ohm-01,868300000,-70,11.5,12,125,5-Apr,2018-07-04T12:29:00.700952Z,6,"Hello, GPS Coord (33.86534, 35.56452)",33.86534,35.56452,0.07769673,-70,90,0.2
7,ohm-01,868500000,-68,9.5,12,125,5-Apr,2018-07-04T12:29:11.809284Z,7,"Hello, GPS Coord (33.86534, 35.56452)",33.86534,35.56452,0.07769673,-68,88,0.2
8,ohm-01,868300000,-72,11.5,12,125,5-Apr,2018-07-04T12:29:23.031625Z,8,"Hello, GPS Coord (33.86534, 35.56452)",33.86534,35.56452,0.07769673,-72,92,0.2
9,ohm-01,868500000,-68,8,12,125,5-Apr,2018-07-04T12:29:34.465964Z,9,"Hello, GPS Coord (33.86534, 35.56452)",33.86534,35.56452,0.07769673,-68,88,0.2
10,ohm-01,868500000,-83,8.8,12,125,5-Apr,2018-07-04T12:37:20.17316Z,0,"Hello, GPS Coord (33.86536, 35.56504)",33.86536,35.56504,0.122215333,-83,103,0.2
11,ohm-01,868500000,-82,10.8,12,125,5-Apr,2018-07-04T12:37:30.737476Z,1,"Hello, GPS Coord (33.86536, 35.56504)",33.86536,35.56504,0.122215333,-82,102,0.2
12,ohm-01,868100000,-85,12.2,12,125,5-Apr,2018-07-04T12:37:41.6278Z,2,"Hello, GPS Coord (33.86536, 35.56504)",33.86536,35.56504,0.122215333,-85,105,0.2
13,ohm-01,868300000,-85,12.8,12,125,5-Apr,2018-07-04T12:37:52.630123Z,3,"Hello, GPS Coord (33.86536, 35.56504)",33.86536,35.56504,0.122215333,-85,105,0.2
14,ohm-01,868500000,-97,8.2,12,125,5-Apr,2018-07-04T12:38:03.628447Z,4,"Hello, GPS Coord (33.86536, 35.56504)",33.86536,35.56504,0.122215333,-97,117,0.2
15,ohm-01,868100000,-96,10,12,125,5-Apr,2018-07-04T12:38:14.628779Z,5,"Hello, GPS Coord (33.86536, 35.56504)",33.86536,35.56504,0.122215333,-96,116,0.2
16,ohm-01,868100000,-90,12.2,12,125,5-Apr,2018-07-04T12:38:25.73711Z,6,"Hello, GPS Coord (33.86536, 35.56504)",33.86536,35.56504,0.122215333,-90,110,0.2
17,ohm-01,868500000,-92,9.5,12,125,5-Apr,2018-07-04T12:38:36.735426Z,7,"Hello, GPS Coord (33.86536, 35.56504)",33.86536,35.56504,0.122215333,-92,112,0.2
18,ohm-01,868500000,-105,6.5,12,125,5-Apr,2018-07-04T12:38:47.737758Z,8,"Hello, GPS Coord (33.86536, 35.56504)",33.86536,35.56504,0.122215333,-105,125,0.2
19,ohm-01,868100000,-91,12.2,12,125,5-Apr,2018-07-04T12:38:58.844089Z,9,"Hello, GPS Coord (33.86536, 35.56504)",33.86536,35.56504,0.122215333,-91,111,0.2
20,ohm-01,868100000,-89,10.5,12,125,5-Apr,2018-07-04T12:45:59.184631Z,0,"Hello, GPS Coord (33.86559, 35.56507)",33.86559,35.56507,0.121080482,-89,109,0.2
21,ohm-01,868300000,-85,10.2,12,125,5-Apr,2018-07-04T12:46:09.860946Z,1,"Hello, GPS Coord (33.86559, 35.56507)",33.86559,35.56507,0.121080482,-85,105,0.2
22,ohm-01,868100000,-89,9.2,12,125,5-Apr,2018-07-04T12:46:20.53727Z,2,"Hello, GPS Coord (33.86559, 35.56507)",33.86559,35.56507,0.121080482,-89,109,0.2
23,ohm-01,868300000,-86,10,12,125,5-Apr,2018-07-04T12:46:31.213578Z,3,"Hello, GPS Coord (33.86559, 35.56507)",33.86559,35.56507,0.121080482,-86,106,0.2
24,ohm-01,868300000,-89,10.5,12,125,5-Apr,2018-07-04T12:46:41.995893Z,4,"Hello, GPS Coord (33.8656, 35.56511)",33.8656,35.56511,0.124725307,-89,109,0.2
25,ohm-01,868100000,-88,12.2,12,125,5-Apr,2018-07-04T12:47:03.234532Z,6,"Hello, GPS Coord (33.86561, 35.56511)",33.86561,35.56511,0.124690598,-88,108,0.2
26,ohm-01,868300000,-88,11.8,12,125,5-Apr,2018-07-04T12:47:13.910848Z,7,"Hello, GPS Coord (33.86561, 35.56511)",33.86561,35.56511,0.124690598,-88,108,0.2
27,ohm-01,868300000,-85,10.5,12,125,5-Apr,2018-07-04T12:47:24.583163Z,8,"Hello, GPS Coord (33.86561, 35.56511)",33.86561,35.56511,0.124690598,-85,105,0.2
28,ohm-01,868500000,-89,9,12,125,5-Apr,2018-07-04T12:47:35.255479Z,9,"Hello, GPS Coord (33.86561, 35.56511)",33.86561,35.56511,0.124690598,-89,109,0.2
29,ohm-01,868300000,-91,9.8,12,125,5-Apr,2018-07-04T12:54:31.042396Z,0,"Hello, GPS Coord (33.86587, 35.56513)",33.86587,35.56513,0.129051908,-91,111,0.2
30,ohm-01,868100000,-94,8.2,12,125,5-Apr,2018-07-04T12:54:42.150725Z,1,"Hello, GPS Coord (33.86587, 35.56513)",33.86587,35.56513,0.129051908,-94,114,0.2
31,ohm-01,868500000,-94,7.5,12,125,5-Apr,2018-07-04T12:54:53.045042Z,2,"Hello, GPS Coord (33.86587, 35.56513)",33.86587,35.56513,0.129051908,-94,114,0.2
32,ohm-01,868500000,-91,8,12,125,5-Apr,2018-07-04T12:55:03.939366Z,3,"Hello, GPS Coord (33.86587, 35.56513)",33.86587,35.56513,0.129051908,-91,111,0.2
33,ohm-01,868100000,-94,9.2,12,125,5-Apr,2018-07-04T12:55:14.829698Z,4,"Hello, GPS Coord (33.86587, 35.56513)",33.86587,35.56513,0.129051908,-94,114,0.2
