,DevName,Freq,RSSI,SNR,SF,BW,CR,Time,Seq,Payload,Lat,Long,Dist,Prx,PL
418,ohm-01,868100000,-119,-16.8,12,125,5-Apr,2018-08-13T05:53:16.416322Z,12,"Hello, GPS Coord (33.95554, 36.11792)",33.95554,36.11792,47.67424648,-135.8,155.8
419,ohm-01,868100000,-121,-10.8,12,125,5-Apr,2018-08-13T05:57:32.215636Z,36,"Hello, GPS Coord (33.93053, 36.08973)",33.93053,36.08973,43.87221706,-131.8,151.8
420,ohm-01,868100000,-121,-12.8,12,125,5-Apr,2018-08-13T05:57:43.643968Z,37,"Hello, GPS Coord (33.92965, 36.08875)",33.92965,36.08875,43.73923742,-133.8,153.8
421,ohm-01,868100000,-121,-16.8,12,125,5-Apr,2018-08-13T05:58:50.301909Z,43,"Hello, GPS Coord (33.92876, 36.08756)",33.92876,36.08756,43.59149418,-137.8,157.8
422,ohm-01,868500000,-111,-12.2,12,125,5-Apr,2018-08-13T05:59:23.62288Z,46,"Hello, GPS Coord (33.9281, 36.08682)",33.9281,36.08682,43.49142553,-123.2,143.2
423,ohm-01,868100000,-120,-17.8,12,125,5-Apr,2018-08-13T06:01:47.061047Z,59,"Hello, GPS Coord (33.91701, 36.0727)",33.91701,36.0727,41.6975668,-137.8,157.8
424,ohm-01,868300000,-111,-6.2,12,125,5-Apr,2018-08-13T06:03:05.367311Z,66,"Hello, GPS Coord (33.90885, 36.06278)",33.90885,36.06278,40.40885855,-117.2,137.2
425,ohm-01,868100000,-116,-1.2,12,125,5-Apr,2018-08-13T06:03:16.477627Z,67,"Hello, GPS Coord (33.90758, 36.06121)",33.90758,36.06121,40.20654418,-117.2,137.2
426,ohm-01,868500000,-118,-2,12,125,5-Apr,2018-08-13T06:03:49.362573Z,70,"Hello, GPS Coord (33.9037, 36.05646)",33.9037,36.05646,39.59154338,-120,140
427,ohm-01,868300000,-115,-3.2,12,125,5-Apr,2018-08-13T06:04:00.142889Z,71,"Hello, GPS Coord (33.90239, 36.05486)",33.90239,36.05486,39.38414765,-118.2,138.2
428,ohm-01,868500000,-117,0.5,12,125,5-Apr,2018-08-13T06:04:10.923196Z,72,"Hello, GPS Coord (33.90106, 36.05322)",33.90106,36.05322,39.17254558,-117,137
429,ohm-01,868500000,-119,-1,12,125,5-Apr,2018-08-13T06:04:32.595819Z,74,"Hello, GPS Coord (33.89854, 36.05015)",33.89854,36.05015,38.7741033,-120,140
430,ohm-01,868100000,-119,-6,12,125,5-Apr,2018-08-13T06:04:43.376142Z,75,"Hello, GPS Coord (33.89729, 36.04866)",33.89729,36.04866,38.57865051,-125,145
417,ohm-01,868500000,-120,-16.2,12,125,5-Apr,2018-08-11T08:03:06.268115Z,374,"Hello, GPS Coord (33.87569, 36.02262)",33.87569,36.02262,35.18153665,-136.2,156.2
96,ohm-02,868100000,-121,-14,12,125,5-Apr,2018-08-11T08:00:46.857187Z,248,"Hello, GPS Coord (33.87545, 36.02232)",33.87545,36.02232,35.14307631,-135,155
97,ohm-02,868500000,-119,-18.8,12,125,5-Apr,2018-08-11T08:01:43.170855Z,253,"Hello, GPS Coord (33.87545, 36.02232)",33.87545,36.02232,35.14307631,-137.8,157.8
98,ohm-02,868100000,-121,-18,12,125,5-Apr,2018-08-11T08:02:27.180158Z,257,"Hello, GPS Coord (33.87545, 36.02232)",33.87545,36.02232,35.14307631,-139,159
416,ohm-01,868300000,-120,-8,12,125,5-Apr,2018-08-11T08:02:55.923815Z,373,"Hello, GPS Coord (33.87538, 36.02229)",33.87538,36.02229,35.13570242,-128,148
431,ohm-01,868100000,-121,-7.2,12,125,5-Apr,2018-08-13T06:07:47.715449Z,92,"Hello, GPS Coord (33.87544, 36.02207)",33.87544,36.02207,35.12560161,-128.2,148.2
95,ohm-02,868500000,-119,-14.5,12,125,5-Apr,2018-08-11T08:00:02.09185Z,244,"Hello, GPS Coord (33.87468, 36.02135)",33.87468,36.02135,35.019181,-133.5,153.5
415,ohm-01,868100000,-120,-14.2,12,125,5-Apr,2018-08-11T08:00:00.592675Z,357,"Hello, GPS Coord (33.8746, 36.02126)",33.8746,36.02126,35.00702926,-134.2,154.2
432,ohm-01,868100000,-121,-12,12,125,5-Apr,2018-08-13T06:08:20.686396Z,95,"Hello, GPS Coord (33.87152, 36.01733)",33.87152,36.01733,34.50809973,-133,153
433,ohm-01,868500000,-115,-12,12,125,5-Apr,2018-08-13T06:09:48.728936Z,103,"Hello, GPS Coord (33.86572, 36.00296)",33.86572,36.00296,33.10574205,-127,147
414,ohm-01,868500000,-115,-16.5,12,125,5-Apr,2018-08-11T07:57:56.881048Z,346,"Hello, GPS Coord (33.86547, 36.00218)",33.86547,36.00218,33.03485147,-131.5,151.5
94,ohm-02,868300000,-113,-15.2,12,125,5-Apr,2018-08-11T07:57:53.754039Z,236,"Hello, GPS Coord (33.86534, 36.0018)",33.86534,36.0018,32.99968607,-128.2,148.2
434,ohm-01,868500000,-112,-11.2,12,125,5-Apr,2018-08-13T06:10:32.690198Z,107,"Hello, GPS Coord (33.86396, 35.99586)",33.86396,35.99586,32.5020133,-123.2,143.2
