,DevName,Freq,RSSI,SNR,SF,BW,CR,Time,Seq,Payload,Lat,Long,Dist,Prx,PL
0,ohm-01,868100000,-111,-13.5,12,125,5-Apr,2018-08-10T01:08:16.78541Z,0,"Hello, GPS Coord (33.89323, 35.50055)",33.89323,35.50055,6.590342418,-124.5,144.5
1,ohm-01,868100000,-111,-7.8,12,125,5-Apr,2018-08-10T01:08:27.895711Z,1,"Hello, GPS Coord (33.89303, 35.50044)",33.89303,35.50044,6.589019271,-118.8,138.8
2,ohm-01,868300000,-105,-15.2,12,125,5-Apr,2018-08-10T01:08:39.00801Z,2,"Hello, GPS Coord (33.89307, 35.50051)",33.89307,35.50051,6.585349916,-120.2,140.2
3,ohm-01,868100000,-113,-15,12,125,5-Apr,2018-08-10T01:08:50.002318Z,3,"Hello, GPS Coord (33.89307, 35.50051)",33.89307,35.50051,6.585349916,-128,148
4,ohm-01,868300000,-107,-14.5,12,125,5-Apr,2018-08-10T01:09:00.674612Z,4,"Hello, GPS Coord (33.89307, 35.50051)",33.89307,35.50051,6.585349916,-121.5,141.5
5,ohm-01,868500000,-104,-16.8,12,125,5-Apr,2018-08-10T01:09:11.564912Z,5,"Hello, GPS Coord (33.89313, 35.50058)",33.89313,35.50058,6.58272041,-120.8,140.8
6,ohm-01,868100000,-114,-4.2,12,125,5-Apr,2018-08-10T01:09:22.347212Z,6,"Hello, GPS Coord (33.89313, 35.5006)",33.89313,35.5006,6.581085615,-118.2,138.2
7,ohm-01,868100000,-115,-7.5,12,125,5-Apr,2018-08-10T01:09:33.241513Z,7,"Hello, GPS Coord (33.89313, 35.5006)",33.89313,35.5006,6.581085615,-122.5,142.5
8,ohm-01,868100000,-113,-9,12,125,5-Apr,2018-08-10T01:09:44.025822Z,8,"Hello, GPS Coord (33.89313, 35.5006)",33.89313,35.5006,6.581085615,-122,142
9,ohm-01,868500000,-118,-3.5,12,125,5-Apr,2018-08-10T01:09:55.024121Z,9,"Hello, GPS Coord (33.89315, 35.50056)",33.89315,35.50056,6.585388189,-121.5,141.5
